CE year;BE year;K;A;T;nM;dM;nV;dV;Asalha by Calc.;Asalha in Calendar;test;source;comments
1970;2513;703;508;10;6;;44;;1970-07-18;1970-07-18;OK;myhora.com;
1971;2514;496;371;21;7;;45;;1971-07-07;1971-07-07;OK;myhora.com;
1972;2515;289;234;2;8;3;46;;1972-07-25;1972-07-25;OK;myhora.com;
1973;2516;82;97;13;9;;47;5;1973-07-15;1973-07-15;OK;myhora.com;
1974;2517;675;663;24;10;;48;;1974-07-04;1974-07-04;OK;myhora.com;
1975;2518;468;526;5;11;3;49;;1975-07-23;1975-07-23;OK;myhora.com;
1976;2519;261;389;16;12;;50;;1976-07-11;1976-07-11;OK;myhora.com;
1977;2520;54;252;27;13;2;51;;1977-07-30;1977-07-30;OK;myhora.com;
1978;2521;647;126;9;14;;52;5;1978-07-20;1978-07-19;FAIL;myhora.com;adhikavāra is missing from the calendar
1979;2522;440;681;19;15;;53;;1979-07-09;1979-07-09;OK;myhora.com;
1980;2523;233;544;0;16;3;54;;1980-07-27;1980-07-27;OK;myhora.com;
1981;2524;26;407;11;17;;55;;1981-07-16;1981-07-16;OK;myhora.com;
1982;2525;619;281;23;18;;56;;1982-07-05;1982-07-05;OK;myhora.com;
1983;2526;412;144;4;19;3;57;;1983-07-24;1983-07-24;OK;myhora.com;
1984;2527;205;7;15;1;;1;6;1984-07-13;1984-07-12;FAIL;myhora.com;adhikavāra is missing from the calendar
1985;2528;798;573;26;2;2;2;;1985-08-01;1985-07-31;FAIL;myhora.com;
1986;2529;591;436;7;3;;3;;1986-07-21;1986-07-20;FAIL;myhora.com;
1987;2530;384;299;18;4;;4;;1987-07-10;1987-07-10;OK;thaiorc.com;
1988;2531;177;162;29;5;3;5;;1988-07-28;1988-07-28;OK;thaiorc.com;
1989;2532;770;36;11;6;;6;5;1989-07-18;1989-07-17;FAIL;thaiorc.com;
1990;2533;563;591;21;7;;7;;1990-07-07;1990-07-07;OK;thaiorc.com;
1991;2534;356;454;2;8;3;8;;1991-07-26;1991-07-26;OK;thaiorc.com;
1992;2535;149;317;13;9;;9;;1992-07-14;1992-07-14;OK;thaiorc.com;
1993;2536;742;191;25;10;2;10;;1993-08-02;1993-08-02;OK;thaiorc.com;
1994;2537;535;54;6;11;;11;5;1994-07-23;1994-07-22;FAIL;thaiorc.com, myhora.com;calendar is missing adhikavāra, passing with exception
1995;2538;328;609;16;12;;12;;1995-07-12;1995-07-11;FAIL;thaiorc.com, myhora.com;
1996;2539;121;472;27;13;3;13;;1996-07-30;1996-07-29;FAIL;thaiorc.com, myhora.com;
1997;2540;714;346;9;14;;14;;1997-07-19;1997-07-19;OK;thaiorc.com, myhora.com;missing adhikavāra was added back here, passing with exception
1998;2541;507;209;20;15;;15;;1998-07-08;1998-07-08;OK;thaiorc.com;
1999;2542;300;72;1;16;3;16;x;1999-07-27;1999-07-27;OK;thaiorc.com;
2000;2543;93;627;11;17;;17;6;2000-07-16;2000-07-16;OK;thaiorc.com;
2001;2544;686;501;23;18;;18;;2001-07-05;2001-07-05;OK;fs-cal, thaiorc.com;
2002;2545;479;364;4;19;3;19;;2002-07-24;2002-07-24;OK;thaiorc.com;
2003;2546;272;227;15;1;;20;;2003-07-13;2003-07-13;OK;thaiorc.com;
